"QuizTitle","Category","QuestionImgKey","QuestionText","AnswerText","IsCorrect","ImageFiles"
"Basic Systems","Systems","SK0-005_Q001","A server that recently received hardware upgrades has begun to experience random BSOD conditions. Which of the following are likely causes of the issue? (Choose two.)","Faulty memory","TRUE",""
"Basic Systems","Systems","SK0-005_Q001","A server that recently received hardware upgrades has begun to experience random BSOD conditions. Which of the following are likely causes of the issue? (Choose two.)","Data partition error","FALSE",""
"Basic Systems","Systems","SK0-005_Q001","A server that recently received hardware upgrades has begun to experience random BSOD conditions. Which of the following are likely causes of the issue? (Choose two.)","Incorrectly seated memory","TRUE",""
"Basic Systems","Systems","SK0-005_Q001","A server that recently received hardware upgrades has begun to experience random BSOD conditions. Which of the following are likely causes of the issue? (Choose two.)","Incompatible disk speed","FALSE",""
"Basic Systems","Systems","SK0-005_Q001","A server that recently received hardware upgrades has begun to experience random BSOD conditions. Which of the following are likely causes of the issue? (Choose two.)","Uninitialized disk","FALSE",""
"Basic Systems","Systems","SK0-005_Q001","A server that recently received hardware upgrades has begun to experience random BSOD conditions. Which of the following are likely causes of the issue? (Choose two.)","Overallocated memory","FALSE",""
"Basic Systems","Systems","SK0-005_Q002","A company has implemented a requirement to encrypt all the hard drives on its servers as part of a data loss prevention strategy. Which of the following should the company also perform as a data loss prevention method?","Encrypt all network traffic","FALSE",""
"Basic Systems","Systems","SK0-005_Q002","A company has implemented a requirement to encrypt all the hard drives on its servers as part of a data loss prevention strategy. Which of the following should the company also perform as a data loss prevention method?","Implement MFA on all the servers with encrypted data","FALSE",""
"Basic Systems","Systems","SK0-005_Q002","A company has implemented a requirement to encrypt all the hard drives on its servers as part of a data loss prevention strategy. Which of the following should the company also perform as a data loss prevention method?","Block the servers from using an encrypted USB","FALSE",""
"Basic Systems","Systems","SK0-005_Q002","A company has implemented a requirement to encrypt all the hard drives on its servers as part of a data loss prevention strategy. Which of the following should the company also perform as a data loss prevention method?","Implement port security on the switches","TRUE",""
"Basic Systems","Systems","SK0-005_Q003","A server administrator needs to configure a server on a network that will have no more than 30 available IP addresses. Which of the following subnet addresses will be the MOST efficient for this network?","255.255.255.0","FALSE",""
"Basic Systems","Systems","SK0-005_Q003","A server administrator needs to configure a server on a network that will have no more than 30 available IP addresses. Which of the following subnet addresses will be the MOST efficient for this network?","255.255.255.128","FALSE",""
"Basic Systems","Systems","SK0-005_Q003","A server administrator needs to configure a server on a network that will have no more than 30 available IP addresses. Which of the following subnet addresses will be the MOST efficient for this network?","255.255.255.224","TRUE",""
"Basic Systems","Systems","SK0-005_Q003","A server administrator needs to configure a server on a network that will have no more than 30 available IP addresses. Which of the following subnet addresses will be the MOST efficient for this network?","255.255.255.252","FALSE",""
"Basic Systems","Systems","SK0-005_Q004","A server administrator needs to deploy five VMs, all of which must have the same type of configuration. Which of the following would be the MOST efficient way to perform this task?","Snapshot a VM.","FALSE",""
"Basic Systems","Systems","SK0-005_Q004","A server administrator needs to deploy five VMs, all of which must have the same type of configuration. Which of the following would be the MOST efficient way to perform this task?","Use a physical host.","FALSE",""
"Basic Systems","Systems","SK0-005_Q004","A server administrator needs to deploy five VMs, all of which must have the same type of configuration. Which of the following would be the MOST efficient way to perform this task?","Perform a P2V conversion.","FALSE",""
"Basic Systems","Systems","SK0-005_Q004","A server administrator needs to deploy five VMs, all of which must have the same type of configuration. Which of the following would be the MOST efficient way to perform this task?","Use a VM template.","TRUE",""
"Basic Systems","Systems","SK0-005_Q005","A technician needs to provide a VM with high availability. Which of the following actions should the technician take to complete this task as efficiently as possible?","Take a snapshot of the original VM","TRUE",""
"Basic Systems","Systems","SK0-005_Q005","A technician needs to provide a VM with high availability. Which of the following actions should the technician take to complete this task as efficiently as possible?","Clone the original VM","FALSE",""
"Basic Systems","Systems","SK0-005_Q005","A technician needs to provide a VM with high availability. Which of the following actions should the technician take to complete this task as efficiently as possible?","Convert the original VM to use dynamic disks","FALSE",""
"Basic Systems","Systems","SK0-005_Q005","A technician needs to provide a VM with high availability. Which of the following actions should the technician take to complete this task as efficiently as possible?","Perform a P2V of the original VM","FALSE",""
"Basic Systems","Systems","SK0-005_Q006","A server administrator is configuring the IP address on a newly provisioned server in the testing environment. The network VLANs are configured as follows: (Img Here) The administrator configures the IP address for the new server as follows: IP address: 192.168.1.1/24 Default gateway: 192.168.10.1 A ping sent to the default gateway is not successful. Which of the following IP address/default gateway combinations should the administrator have used for the new server?","IP address: 192.168.10.2/24","FALSE",""
"Basic Systems","Systems","SK0-005_Q006","A server administrator is configuring the IP address on a newly provisioned server in the testing environment. The network VLANs are configured as follows: (Img Here) The administrator configures the IP address for the new server as follows: IP address: 192.168.1.1/24 Default gateway: 192.168.10.1 A ping sent to the default gateway is not successful. Which of the following IP address/default gateway combinations should the administrator have used for the new server?","IP address: 192.168.1.2/24","TRUE",""
"Basic Systems","Systems","SK0-005_Q006","A server administrator is configuring the IP address on a newly provisioned server in the testing environment. The network VLANs are configured as follows: (Img Here) The administrator configures the IP address for the new server as follows: IP address: 192.168.1.1/24 Default gateway: 192.168.10.1 A ping sent to the default gateway is not successful. Which of the following IP address/default gateway combinations should the administrator have used for the new server?","IP address: 192.168.10.3/24","FALSE",""
"Basic Systems","Systems","SK0-005_Q006","A server administrator is configuring the IP address on a newly provisioned server in the testing environment. The network VLANs are configured as follows: (Img Here) The administrator configures the IP address for the new server as follows: IP address: 192.168.1.1/24 Default gateway: 192.168.10.1 A ping sent to the default gateway is not successful. Which of the following IP address/default gateway combinations should the administrator have used for the new server?","IP address: 192.168.10.24/24","FALSE",""
"Basic Systems","Systems","SK0-005_Q007","A server administrator is experiencing difficulty configuring MySQL on a Linux server. The administrator issues the getenforce command and receives the following output: ># Enforcing Which of the following commands should the administrator issue to configure MySQL successfully?","setenforce 0","TRUE",""
"Basic Systems","Systems","SK0-005_Q007","A server administrator is experiencing difficulty configuring MySQL on a Linux server. The administrator issues the getenforce command and receives the following output: ># Enforcing Which of the following commands should the administrator issue to configure MySQL successfully?","setenforce permissive","FALSE",""
"Basic Systems","Systems","SK0-005_Q007","A server administrator is experiencing difficulty configuring MySQL on a Linux server. The administrator issues the getenforce command and receives the following output: ># Enforcing Which of the following commands should the administrator issue to configure MySQL successfully?","setenforce 1","FALSE",""
"Basic Systems","Systems","SK0-005_Q007","A server administrator is experiencing difficulty configuring MySQL on a Linux server. The administrator issues the getenforce command and receives the following output: ># Enforcing Which of the following commands should the administrator issue to configure MySQL successfully?","setenforce disabled","FALSE",""
"Basic Systems","Systems","SK0-005_Q008","Which of the following backup types only records changes to the data blocks on a virtual machine?","Differential","FALSE",""
"Basic Systems","Systems","SK0-005_Q008","Which of the following backup types only records changes to the data blocks on a virtual machine?","Snapshot","FALSE",""
"Basic Systems","Systems","SK0-005_Q008","Which of the following backup types only records changes to the data blocks on a virtual machine?","Incremental","TRUE",""
"Basic Systems","Systems","SK0-005_Q008","Which of the following backup types only records changes to the data blocks on a virtual machine?","Synthetic full","FALSE",""
"Basic Systems","Systems","SK0-005_Q009","A technician wants to limit disk usage on a server. Which of the following should the technician implement?","Formatting","FALSE",""
"Basic Systems","Systems","SK0-005_Q009","A technician wants to limit disk usage on a server. Which of the following should the technician implement?","Compression","FALSE",""
"Basic Systems","Systems","SK0-005_Q009","A technician wants to limit disk usage on a server. Which of the following should the technician implement?","Disk quotas","TRUE",""
"Basic Systems","Systems","SK0-005_Q009","A technician wants to limit disk usage on a server. Which of the following should the technician implement?","Partitioning","FALSE",""
"Basic Systems","Systems","SK0-005_Q010","A server administrator receives a report that Ann, a new user, is unable to save a file to her home directory on a server. The administrator checks Ann’s home directory permissions and discovers the following: dr-xr-xr-- /home/Ann Which of the following commands should the administrator use to resolve the issue without granting unnecessary permissions?","chmod777/home/Ann","FALSE",""
"Basic Systems","Systems","SK0-005_Q010","A server administrator receives a report that Ann, a new user, is unable to save a file to her home directory on a server. The administrator checks Ann’s home directory permissions and discovers the following: dr-xr-xr-- /home/Ann Which of the following commands should the administrator use to resolve the issue without granting unnecessary permissions?","chmod666/home/Ann","FALSE",""
"Basic Systems","Systems","SK0-005_Q010","A server administrator receives a report that Ann, a new user, is unable to save a file to her home directory on a server. The administrator checks Ann’s home directory permissions and discovers the following: dr-xr-xr-- /home/Ann Which of the following commands should the administrator use to resolve the issue without granting unnecessary permissions?","chmod711/home/Ann","FALSE",""
"Basic Systems","Systems","SK0-005_Q010","A server administrator receives a report that Ann, a new user, is unable to save a file to her home directory on a server. The administrator checks Ann’s home directory permissions and discovers the following: dr-xr-xr-- /home/Ann Which of the following commands should the administrator use to resolve the issue without granting unnecessary permissions?","chmod754/home/Ann","TRUE",""
"Basic Systems","Systems","SK0-005_Q011","Which of the following is typical of software licensing in the cloud?","Per socket","FALSE",""
"Basic Systems","Systems","SK0-005_Q011","Which of the following is typical of software licensing in the cloud?","Perpetual","FALSE",""
"Basic Systems","Systems","SK0-005_Q011","Which of the following is typical of software licensing in the cloud?","Subscription-based","TRUE",""
"Basic Systems","Systems","SK0-005_Q011","Which of the following is typical of software licensing in the cloud?","Site-based","FALSE",""
