QuizTitle,Category,QuestionText,AnswerText,IsCorrect,QuestionImgKey
Cloud +,CV0-004,"An engineer made a change to an application and needs to select a deployment strategy that meets
the following requirements:
Is simple and fast
Can be performed on two Identical platforms
Which of the following strategies should the engineer use?",A. Blue-green,TRUE,
Cloud +,CV0-004,"An engineer made a change to an application and needs to select a deployment strategy that meets
the following requirements:
Is simple and fast
Can be performed on two Identical platforms
Which of the following strategies should the engineer use?",B. Canary,FALSE,
Cloud +,CV0-004,"An engineer made a change to an application and needs to select a deployment strategy that meets
the following requirements:
Is simple and fast
Can be performed on two Identical platforms
Which of the following strategies should the engineer use?",C. Rolling,FALSE,
Cloud +,CV0-004,"An engineer made a change to an application and needs to select a deployment strategy that meets
the following requirements:
Is simple and fast
Can be performed on two Identical platforms
Which of the following strategies should the engineer use?",D. in-place,FALSE,
Cloud +,CV0-004,"The change control board received a request to approve a configuration change 10 deploy in the
cloud production environment. Which of the following should have already been competed?",A. Penetration test,FALSE,
Cloud +,CV0-004,"The change control board received a request to approve a configuration change 10 deploy in the
cloud production environment. Which of the following should have already been competed?",B. End-to-end security testing,FALSE,
Cloud +,CV0-004,"The change control board received a request to approve a configuration change 10 deploy in the
cloud production environment. Which of the following should have already been competed?",C. Cost benefit analysis,FALSE,
Cloud +,CV0-004,"The change control board received a request to approve a configuration change 10 deploy in the
cloud production environment. Which of the following should have already been competed?",D. User acceptance testing,TRUE,
Cloud +,CV0-004,"A customer is migrating applications to the cloud and wants to grant authorization based on the
classification levels of each system. Which of the following should the customer implement to ensure
authorisation to systems is granted when the user and system classification properties match?
(Select two).",A. Resource tagging,FALSE,
Cloud +,CV0-004,"A customer is migrating applications to the cloud and wants to grant authorization based on the
classification levels of each system. Which of the following should the customer implement to ensure
authorisation to systems is granted when the user and system classification properties match?
(Select two).",B. Discretionary access control,TRUE,
Cloud +,CV0-004,"A customer is migrating applications to the cloud and wants to grant authorization based on the
classification levels of each system. Which of the following should the customer implement to ensure
authorisation to systems is granted when the user and system classification properties match?
(Select two).",C. Multifactor authentication,FALSE,
Cloud +,CV0-004,"A customer is migrating applications to the cloud and wants to grant authorization based on the
classification levels of each system. Which of the following should the customer implement to ensure
authorisation to systems is granted when the user and system classification properties match?
(Select two).",D. Role-based access control,FALSE,
Cloud +,CV0-004,"A customer is migrating applications to the cloud and wants to grant authorization based on the
classification levels of each system. Which of the following should the customer implement to ensure
authorisation to systems is granted when the user and system classification properties match?
(Select two).",E. Token-based authentication,FALSE,
Cloud +,CV0-004,"A customer is migrating applications to the cloud and wants to grant authorization based on the
classification levels of each system. Which of the following should the customer implement to ensure
authorisation to systems is granted when the user and system classification properties match?
(Select two).",F. Bastion host,FALSE,
Cloud +,CV0-004,"A system surpasses 75% to 80% of resource consumption. Which of the following scaling approaches
is the most appropriate?",A. Trending,FALSE,
Cloud +,CV0-004,"A system surpasses 75% to 80% of resource consumption. Which of the following scaling approaches
is the most appropriate?",B. Manual,FALSE,
Cloud +,CV0-004,"A system surpasses 75% to 80% of resource consumption. Which of the following scaling approaches
is the most appropriate?",C. Load,TRUE,
Cloud +,CV0-004,"A system surpasses 75% to 80% of resource consumption. Which of the following scaling approaches
is the most appropriate?",D. Scheduled,FALSE,
Cloud +,CV0-004,"A network administrator is budding a site-to-site VPN tunnel from the company's headquarters office
10 the company's public cloud development network. The network administrator confirms the following:
The VPN tunnel is established on the headquarter office firewall.
While inside the office, developers report that they cannot connect to the development network resources.
While outside the office on a client VPN, developers report that they can connect to the
development network resources.
The office and the client VPN have different IP subnet ranges.
The firewall flow logs show VPN traffic is reaching the development network from the office.
Which of the following is the next step the next network administrator should take to troubleshoot
the VPN tunnel?",A. Review the development network routing table.,TRUE,
Cloud +,CV0-004,"A network administrator is budding a site-to-site VPN tunnel from the company's headquarters office
10 the company's public cloud development network. The network administrator confirms the following:
The VPN tunnel is established on the headquarter office firewall.
While inside the office, developers report that they cannot connect to the development network resources.
While outside the office on a client VPN, developers report that they can connect to the
development network resources.
The office and the client VPN have different IP subnet ranges.
The firewall flow logs show VPN traffic is reaching the development network from the office.
Which of the following is the next step the next network administrator should take to troubleshoot
the VPN tunnel?",B. Change the ciphers on the site-to-site VPN.,FALSE,
Cloud +,CV0-004,"A network administrator is budding a site-to-site VPN tunnel from the company's headquarters office
10 the company's public cloud development network. The network administrator confirms the following:
The VPN tunnel is established on the headquarter office firewall.
While inside the office, developers report that they cannot connect to the development network resources.
While outside the office on a client VPN, developers report that they can connect to the
development network resources.
The office and the client VPN have different IP subnet ranges.
The firewall flow logs show VPN traffic is reaching the development network from the office.
Which of the following is the next step the next network administrator should take to troubleshoot
the VPN tunnel?",C. Restart the site-to-site VPN tunnel.,FALSE,
