QuizTitle,Category,QuestionText,AnswerText,IsCorrect,QuestionImgKey
1V0-21.20,Data Center Virtualization,Which selection is optional when deploying a new virtual machine in the vSphere Client?,Data center,false,
1V0-21.20,Data Center Virtualization,Which selection is optional when deploying a new virtual machine in the vSphere Client?,Compute resource,false,
1V0-21.20,Data Center Virtualization,Which selection is optional when deploying a new virtual machine in the vSphere Client?,Guest OS,true,
1V0-21.20,Data Center Virtualization,Which selection is optional when deploying a new virtual machine in the vSphere Client?,Folder,false,
1V0-21.20,Data Center Virtualization,An administrator is trying to create an alarm action that runs a batch file on a specific VM. Which alarm action should the administrator use?,Send SNMP traps,false,
1V0-21.20,Data Center Virtualization,An administrator is trying to create an alarm action that runs a batch file on a specific VM. Which alarm action should the administrator use?,Run a PowerCLI command,false,
1V0-21.20,Data Center Virtualization,An administrator is trying to create an alarm action that runs a batch file on a specific VM. Which alarm action should the administrator use?,Run script,true,
1V0-21.20,Data Center Virtualization,An administrator is trying to create an alarm action that runs a batch file on a specific VM. Which alarm action should the administrator use?,Send email notifications,false,
1V0-21.20,Data Center Virtualization,A system administrator needs to configure a virtual machine to guarantee that it always gets the appropriate resources even if the host is overloaded and overcommitted. Which setting on the virtual machine does the administrator need to configure?,vSphere High Availability Admission Control,true,
1V0-21.20,Data Center Virtualization,A system administrator needs to configure a virtual machine to guarantee that it always gets the appropriate resources even if the host is overloaded and overcommitted. Which setting on the virtual machine does the administrator need to configure?,High Performance Power Policy,false,
1V0-21.20,Data Center Virtualization,A system administrator needs to configure a virtual machine to guarantee that it always gets the appropriate resources even if the host is overloaded and overcommitted. Which setting on the virtual machine does the administrator need to configure?,CPU and Memory Shares to High,false,
1V0-21.20,Data Center Virtualization,A system administrator needs to configure a virtual machine to guarantee that it always gets the appropriate resources even if the host is overloaded and overcommitted. Which setting on the virtual machine does the administrator need to configure?,CPU and Memory Reservations,false,
1V0-21.20,Data Center Virtualization,Refer to the exhibit: Which statement is true about the access privileges of User 1?,User 1 has administrator privileges to all objects in the Test and Dev folder.,false,1V0-21.20_Q004.png
1V0-21.20,Data Center Virtualization,Refer to the exhibit: Which statement is true about the access privileges of User 1?,User 1 has administrator privileges to all VMs in the Production folder.,false,1V0-21.20_Q004.png
1V0-21.20,Data Center Virtualization,Refer to the exhibit: Which statement is true about the access privileges of User 1?,User 1 has read-only privileges to all objects in the Production folder.,true,1V0-21.20_Q004.png
1V0-21.20,Data Center Virtualization,Refer to the exhibit: Which statement is true about the access privileges of User 1?,User 1 has read-only privileges to the Dev01 VM in the Test and Dev folder.,false,1V0-21.20_Q004.png
1V0-21.20,Data Center Virtualization,Which storage protocol is supported by vSphere?,NFS,true,
1V0-21.20,Data Center Virtualization,Which storage protocol is supported by vSphere?,SMB,false,
1V0-21.20,Data Center Virtualization,Which storage protocol is supported by vSphere?,CIFS,false,
