"QuizTitle","Category","QuestionText","AnswerText","IsCorrect"
"Basic Security","Security","A data administrator is configuring authentication for a SaaS application and would like to reduce the number of credentials employees need to maintain. The company prefers to use domain credentials to access new SaaS applications. Which of the following methods would allow this functionality?","SSO","TRUE"
"Basic Security","Security","A data administrator is configuring authentication for a SaaS application and would like to reduce the number of credentials employees need to maintain. The company prefers to use domain credentials to access new SaaS applications. Which of the following methods would allow this functionality?","LEAP","FALSE"
"Basic Security","Security","A data administrator is configuring authentication for a SaaS application and would like to reduce the number of credentials employees need to maintain. The company prefers to use domain credentials to access new SaaS applications. Which of the following methods would allow this functionality?","MFA","FALSE"
"Basic Security","Security","A data administrator is configuring authentication for a SaaS application and would like to reduce the number of credentials employees need to maintain. The company prefers to use domain credentials to access new SaaS applications. Which of the following methods would allow this functionality?","PEAP","FALSE"
"Basic Security","Security","An employee receives a text message that appears to have been sent by the payroll department and is asking for credential verification. Which of the following social engineering techniques are being attempted? (Choose two.)","Typosquatting","FALSE"
"Basic Security","Security","An employee receives a text message that appears to have been sent by the payroll department and is asking for credential verification. Which of the following social engineering techniques are being attempted? (Choose two.)","Phishing","FALSE"
"Basic Security","Security","An employee receives a text message that appears to have been sent by the payroll department and is asking for credential verification. Which of the following social engineering techniques are being attempted? (Choose two.)","Impersonation","TRUE"
"Basic Security","Security","An employee receives a text message that appears to have been sent by the payroll department and is asking for credential verification. Which of the following social engineering techniques are being attempted? (Choose two.)","Vishing","FALSE"
"Basic Security","Security","An employee receives a text message that appears to have been sent by the payroll department and is asking for credential verification. Which of the following social engineering techniques are being attempted? (Choose two.)","Smishing","TRUE"
"Basic Security","Security","An employee receives a text message that appears to have been sent by the payroll department and is asking for credential verification. Which of the following social engineering techniques are being attempted? (Choose two.)","Misinformation","FALSE"
"Basic Security","Security","A company is required to use certified hardware when building networks. Which of the following best addresses the risks associated with procuring counterfeit hardware?","A thorough analysis of the supply chain","TRUE"
"Basic Security","Security","A company is required to use certified hardware when building networks. Which of the following best addresses the risks associated with procuring counterfeit hardware?","A legally enforceable corporate acquisition policy","FALSE"
"Basic Security","Security","A company is required to use certified hardware when building networks. Which of the following best addresses the risks associated with procuring counterfeit hardware?","A right to audit clause in vendor contracts and SOWs","FALSE"
"Basic Security","Security","A company is required to use certified hardware when building networks. Which of the following best addresses the risks associated with procuring counterfeit hardware?","An in-depth penetration test of all suppliers and vendors","FALSE"
"Basic Security","Security","Which of the following vulnerabilities is associated with installing software outside of a manufacturer’s approved software repository?","Jailbreaking","FALSE"
"Basic Security","Security","Which of the following vulnerabilities is associated with installing software outside of a manufacturer’s approved software repository?","Memory injection","FALSE"
"Basic Security","Security","Which of the following vulnerabilities is associated with installing software outside of a manufacturer’s approved software repository?","Resource reuse","FALSE"
"Basic Security","Security","Which of the following vulnerabilities is associated with installing software outside of a manufacturer’s approved software repository?","Side loading","TRUE"
"Basic Security","Security","An analyst is evaluating the implementation of Zero Trust principles within the data plane. Which of the following would be most relevant for the analyst to evaluate?","Secured zones","FALSE"
"Basic Security","Security","An analyst is evaluating the implementation of Zero Trust principles within the data plane. Which of the following would be most relevant for the analyst to evaluate?","Subject role","TRUE"
"Basic Security","Security","An analyst is evaluating the implementation of Zero Trust principles within the data plane. Which of the following would be most relevant for the analyst to evaluate?","Adaptive identity","FALSE"
"Basic Security","Security","An analyst is evaluating the implementation of Zero Trust principles within the data plane. Which of the following would be most relevant for the analyst to evaluate?","Threat scope reduction","FALSE"
"Basic Security","Security","A company purchased cyber insurance to address items listed on the risk register. Which of the following strategies does this represent?","Accept","FALSE"
"Basic Security","Security","A company purchased cyber insurance to address items listed on the risk register. Which of the following strategies does this represent?","Transfer","TRUE"
"Basic Security","Security","A company purchased cyber insurance to address items listed on the risk register. Which of the following strategies does this represent?","Mitigate","FALSE"
"Basic Security","Security","A company purchased cyber insurance to address items listed on the risk register. Which of the following strategies does this represent?","Avoid","FALSE"
"Basic Security","Security","A security administrator would like to protect data on employees’ laptops. Which of the following encryption techniques should the security administrator use?","Partition","FALSE"
"Basic Security","Security","A security administrator would like to protect data on employees’ laptops. Which of the following encryption techniques should the security administrator use?","Asymmetric","FALSE"
"Basic Security","Security","A security administrator would like to protect data on employees’ laptops. Which of the following encryption techniques should the security administrator use?","Full disk","TRUE"
"Basic Security","Security","A security administrator would like to protect data on employees’ laptops. Which of the following encryption techniques should the security administrator use?","Database","FALSE"
"Basic Security","Security","A security administrator would like to protect data on employees’ laptops. Which of the following encryption techniques should the security administrator use?","Partition","FALSE"
"Basic Security","Security","A security administrator would like to protect data on employees’ laptops. Which of the following encryption techniques should the security administrator use?","Asymmetric","FALSE"
"Basic Security","Security","A security administrator would like to protect data on employees’ laptops. Which of the following encryption techniques should the security administrator use?","Full disk Most Voted","TRUE"
"Basic Security","Security","A security administrator would like to protect data on employees’ laptops. Which of the following encryption techniques should the security administrator use?","Database","FALSE"
"Basic Security","Security","Which of the following is the most likely to be used to document risks, responsible parties, and thresholds?","Risk tolerance","FALSE"
"Basic Security","Security","Which of the following is the most likely to be used to document risks, responsible parties, and thresholds?","Risk transfer","FALSE"
"Basic Security","Security","Which of the following is the most likely to be used to document risks, responsible parties, and thresholds?","Risk register","TRUE"
"Basic Security","Security","Which of the following is the most likely to be used to document risks, responsible parties, and thresholds?","Risk analysis","FALSE"
"Basic Security","Security","A company has begun labeling all laptops with asset inventory stickers and associating them with employee IDs. Which of the following security benefits do these actions provide? (Choose two.)","If a security incident occurs on the device, the correct employee can be notified.","TRUE"
"Basic Security","Security","A company has begun labeling all laptops with asset inventory stickers and associating them with employee IDs. Which of the following security benefits do these actions provide? (Choose two.)","The security team will be able to send user awareness training to the appropriate device.","FALSE"
"Basic Security","Security","A company has begun labeling all laptops with asset inventory stickers and associating them with employee IDs. Which of the following security benefits do these actions provide? (Choose two.)","Users can be mapped to their devices when configuring software MFA tokens.","FALSE"
"Basic Security","Security","A company has begun labeling all laptops with asset inventory stickers and associating them with employee IDs. Which of the following security benefits do these actions provide? (Choose two.)","User-based firewall policies can be correctly targeted to the appropriate laptops.","FALSE"
"Basic Security","Security","A company has begun labeling all laptops with asset inventory stickers and associating them with employee IDs. Which of the following security benefits do these actions provide? (Choose two.)","When conducting penetration testing, the security team will be able to target the desired laptops.","FALSE"
"Basic Security","Security","A company has begun labeling all laptops with asset inventory stickers and associating them with employee IDs. Which of the following security benefits do these actions provide? (Choose two.)","Company data can be accounted for when the employee leaves the organization.","FALSE"
