"QuizTitle","Category","QuestionImgKey","QuestionText","AnswerText","IsCorrect","ImageFiles"
"Basic Networking","Networking","N10-009_Q001","A network administrator is notified that a user cannot access resources on the network. The network administrator checks the physical connections to the workstation labeled User 3 and sees the Ethernet is properly connected. However the network interfaces indicator lights are not blinking on either the computer or the switch. Which of the following is the most likely cause?","The switch failed.","FALSE",""
"Basic Networking","Networking","N10-009_Q001","A network administrator is notified that a user cannot access resources on the network. The network administrator checks the physical connections to the workstation labeled User 3 and sees the Ethernet is properly connected. However the network interfaces indicator lights are not blinking on either the computer or the switch. Which of the following is the most likely cause?","The default gateway is wrong.","FALSE",""
"Basic Networking","Networking","N10-009_Q001","A network administrator is notified that a user cannot access resources on the network. The network administrator checks the physical connections to the workstation labeled User 3 and sees the Ethernet is properly connected. However the network interfaces indicator lights are not blinking on either the computer or the switch. Which of the following is the most likely cause?","The port is shut down.","TRUE",""
"Basic Networking","Networking","N10-009_Q001","A network administrator is notified that a user cannot access resources on the network. The network administrator checks the physical connections to the workstation labeled User 3 and sees the Ethernet is properly connected. However the network interfaces indicator lights are not blinking on either the computer or the switch. Which of the following is the most likely cause?","The VLAN assignment is incorrect.","FALSE",""
"Basic Networking","Networking","N10-009_Q002","An administrator is setting up an SNMP server for use in the enterprise network and needs to create device IDs within a MIB. Which of the following describes the function of a MIB?","DHCP relay device","FALSE",""
"Basic Networking","Networking","N10-009_Q002","An administrator is setting up an SNMP server for use in the enterprise network and needs to create device IDs within a MIB. Which of the following describes the function of a MIB?","Policy enforcement point","FALSE",""
"Basic Networking","Networking","N10-009_Q002","An administrator is setting up an SNMP server for use in the enterprise network and needs to create device IDs within a MIB. Which of the following describes the function of a MIB?","Definition file for event translation","TRUE",""
"Basic Networking","Networking","N10-009_Q002","An administrator is setting up an SNMP server for use in the enterprise network and needs to create device IDs within a MIB. Which of the following describes the function of a MIB?","Network access controller","FALSE",""
"Basic Networking","Networking","N10-009_Q003","Which of the following best explains the role of confidentiality with regard to data at rest?","Data can be accessedby anyone on the administrative network.","FALSE",""
"Basic Networking","Networking","N10-009_Q003","Which of the following best explains the role of confidentiality with regard to data at rest?","Data can be accessedremotely with proper training.","FALSE",""
"Basic Networking","Networking","N10-009_Q003","Which of the following best explains the role of confidentiality with regard to data at rest?","Data can be accessedafter privileged access is granted.","TRUE",""
"Basic Networking","Networking","N10-009_Q003","Which of the following best explains the role of confidentiality with regard to data at rest?","Data can be accessedafter verifying the hash.","FALSE",""
"Basic Networking","Networking","N10-009_Q004","A network engineer performed a migration to a new mail server. The engineer changed the MX record verified the change was accurate and confirmed the new mail server was reachable via the IP address in the A record. However users are not receiving email. Which of the following should the engineer have done to prevent the issue from occurring?","Change the email client configuration to match the MX record.","FALSE",""
"Basic Networking","Networking","N10-009_Q004","A network engineer performed a migration to a new mail server. The engineer changed the MX record verified the change was accurate and confirmed the new mail server was reachable via the IP address in the A record. However users are not receiving email. Which of the following should the engineer have done to prevent the issue from occurring?","Reduce the TTL record prior to the MX record change.","TRUE",""
